name,religion
devi,h
kumar,h
kumari,h
jha,h
khatun,m
md,m
yadav,h
paswan,h
mohammad,m
singh,h
shah,h
ram,h
sahni,h
mahato,h
khatoon,m
thakur,h
mishra,h
prasad,h
chaudhari,h
das,h
ray,h
mo,m
mandal,h
alam,m
khan,m
sharma,h
ansari,m
ahamad,m
praveen,m
sinha,h
m, 
sanjay,h
santosh,h
narayan,h
moo,m
manoj,h
rani,h
gupta,h
rajesh,h
sah,h
shankar,h
lal,h
vijay,h
rekha,h
anita,h
mahto,h
raj,h
nisha,h
ashok,h
alee,m
prakash,h
asha,h
begam,m
ku,h
ranjan,h
soni,h
renu,h
geeta,h
ajay,h
vinod,h
bhagat,h
manju,h
anil,h
amit,h
meena,h
suneeta,h
rakesh,h
munni,h
mohan,h
krishna,h
shanti,h
mukesh,h
chandra,h
husain,m
reeta,h
anand,h
arun,h
ranjeet,h
shrivastav,h
choudhary,h
seeta,h
radha,h
sheela,h
deepak,h
lalita,h
ganesh,h
suresh,h
ara,m
shyam,h
pravin,h
dinesh,h
ahmad,m
punam,h
manish,h
usha,h
chandan,h
veena,h
varma,h
keeran,h
pinki,h
umesh,h
babita,h
suman,h
mahesh,h
pankaj,h
ravi,h
raja,h
rahul,h
kishor,h
ali,m
sangeeta,h
o, 
rajeev,h
raju,h
mamata,h
nirmala,h
pramod,h
hasan,m
rajkumar,h
meera,h
jyoti,h
dileep,h
rahaman,m
shobha,h
parween,m
sanjeev,h
neelam,h
sunita,h
bano,m
suneel,h
sahu,h
pandit,h
raushan,m
abdul,m
sarita,h
priyanka,h
pavan,h
mahaseth,h
lakshmi,h
pramila,h
kanchan,h
bharati,h
seema,h
khanam,m
karn,h
pradeep,h
ponam,h
chanda,h
ramesh,h
nath,h
abhishek,h
gopal,h
vibha,h
sumitra,h
rajendra,h
heera,h
pooja,h
susheela,h
leela,h
shiv,h
kiran,h
indu,h
praween,m
arati,h
ranju,h
reena,h
rinku,h
haque,m
sudha,h
puja,h
purwe,h
sunil,h
mala,h
vikash,h
jitendra,h
jahan,m
kailash,h
manjhi,h
naresh,h
panjiyar,h
sonu,h
akhatar,m
anju,h
urmila,h
ganga,h
archna,h
pushpa,h
mamta,h
jagdeesh,h
arjun,h
kavita,h
surendra,h
shekhar,h
mithilesh,h
savita,h
mahendra,h
bibi, 
chaudhary,h
raut,h
raman,h
paravin,m
kamal,h
bharti,h
priya,h
lalit,h
rohit,h
neha,h
priti,h
malati,h
nitu,h
madan,h
durga,h
sahani,h
amar,h
mallik,m
uma,h
madhu,h
upendra,h
savitree,h
pathak,h
rubi,m
munna,m
ramchandra,h
agraval,h
fatama,m
shravan,h
shambhu,h
vimala,h
ashish,h
chandrakala,h
chaupal,h
suraj,h
fulo,h
baby,h
naseema,m
ajit,h
anavar,m
shabana,m
bhola,h
bharat,h
susheel,h
parvati,h
sudheer,h
roobi,h
saroj,h
naseem,m
vegam,m
sultana,m
vinai,h
babu,h
tara,m
ravindra,h
urapramila,h
vishwanath,h
kuo,m
anjum,m
sumit,h
rina,h
nand,h
bhandari,h
hussain,m
yogendra,h
janaki,h
manjoo,h
fatma,m
govind,h
prem,h
kanhaiya,h
ranjana,h
nayak,h
virendra,h
lalan,h
gulam,m
avinash,h
shahid,m
vikas,h
sangita,h
shambhoo,h
sarasvati,h
arti,h
alok,h
amaranath,h
satya,h
ful,h
jaho,m
rajkumari,h
vivek,h
haidar,m
sagar,h
afsana,m
vimal,h
rehana,m
naveen,h
sanjit,h
shashi,h
perween,m
rahman,m
manisha,h
firoj,m
bhushan,h
anjali,h
dilip,h
gulab,m
shahanaj,m
islam,m
hari,h
nutan,h
guriya,h
deb,h
roy,h
gaurav,h
gautam,h
satyanarayan,h
shree,h
ramvilas,h
vishal,h
lakshaman,h
shatrudhan,h
kalpana,h
mumataj,m
indra,h
kaushalaya,h
prabhat,h
noor,m
subodh,h
kant,h
vano,h
bablu,m
dipak,h
gauri,h
rashmi,h
jarina,m
sweta,h
rajan,h
gulashan,m
vandana,h
nisa,h
sunaina,h
javed,m
ashutosh,h
gudia,h
farhat,m
naushad,m
saurabh,h
sanju,h
ramapari,h
shameem,m
subhash,h
rita,h
nilam,h
kanti,h
gami,h
vikram,h
ramababu,h
poonam,h
sujeet,h
seetaram,h
ishrat,m
shail,m
begum,m
kundan,h
yasamin,m
pandey,h
runa,h
jai,h
tiwari,h
gayatree,h
ranjit,h
uday,h
chandani,h
kamati,h
tabassum,m
kishori,h
lalbabu,m
saiyad,m
vinita,h
shivjee,h
aman,m
pappu,h
shama,m
jamal,m
kamalesh,h
prashant,h
prabha,h
rajia,m
asharaf,m
shivashankar,h
rupa,h
pappoo,h
anuradha,h
aditya,h
imran,m
pawan,h
ramachandra,h
irshad,m
baitha,h
aravind,h
sandeep,h
archana,h
chand,h
kamini,h
ratan,h
papapu,h
sudama,h
parveen,h
neeraj,h
rinki,h
sima,h
ritu,h
khushbu,h
arvind,h
kajal,h
anjani,h
aslam,m
jafar,m
pintu,h
dharmendra,h
puneeta,h
abhay,h
swati,h
kamni,h
vina,h
nikhat,m
sita,h
narendra,h
akbar,m
shahin,m
shakeel,m
shabanam,m
rijwan,m
laxmi,h
akhilesh,h
anwar,m
anwari,m
devendra,h
sajada,m
amrita,h
ramdeo,h
jinat,m
mochi,h
israt,m
pratima,h
vipin,h
shila,h
sulekha,h
kamala,h
nur,m
nasarin,m
tetri,h
shekh,m
rambaboo,h
murari,h
maya,h
aum,h
nadaf,m
ramdulari,h
kala,h
shailendra,h
shamima,m
ruby,h
shakuntla,h
mustak,m
bari,m
shyama,h
abha,h
aftab,h
sudhir,h
sadhana,h
nathuni,h
sharan,h
kunal,h
binod,h
rakhi,h
naj,m
mahaveer,h
sultan,m
anupam,h
jameela,m
neetu,h
rama,h
shahina,m
asagar,m
pratibha,h
khushboo,h
shamshad,m
ejaj,m
shaukat,m
hoda,m
asgari,m
lalababu,m
kausar,m
moti,m
baiju,h
putul,h
punita,h
gaudi,h
erfan,m
nasir,m
vindeshwar,h
afroj,m
safi,m
karim,m
vishnu,h
kalyani,h
sateesh,h
samina,m
nidhi,h
annu,h
azam,m
kalam,m
akhtar,m
mina,h
nikahat,m
nurajaha,m
ramashish,h
rijavana,m
minu,h
shalini,h
shakeela,m
nibha,h
juli,h
pharajana,m
sapna,h
sujata,h
sharada,h
juhi,h
arman,m
khurshid,m
hena,m
mithlesh,h
umar,m
samim,m
pavin,m
jakir,m
rajani,h
kha,m
kharga,h
prabhakar,h
kameshwar,h
jahangir,m
guddu,m
tanveer,m
gunja,h
najni,m
asraf,m
shahida,m
roopa,h
chandni,h
nusarat,m
ekbal,m
saba,m
nagendra,h
rincky,h
rajo,h
wary,h
jaya,h
sushil,h
chhote,h
gajala,m
mahadev,h
nootan,h
avadhesh,h
kamre,m
pano,h
verma,h
jay,h
rupam,h
baboo,h
tarannum,m
nandan,h
parvej,m
datt,h
manjar,m
rabiya,m
shikha,h
pradhan,h
rajiya,m
ankit,h
asif,m
roshan,m
haseena,m
om,h
baidyanath,h
ramlakhan,h
kaushal,h
ranjita,h
bibha,h
paramila,h
niraj,h
irfan,m
khalid,m
samima,m
yasmin,m
kusum,m
shveta,h
mustafa,m
rajak,h
dev,h
komal,h
bina,h
nasim,m
kishun,h
kumkum,m
manjula,h
najma,m
dulari,m
saddam,m
babloo,h
moni,h
ruhi,m
sahaney,h
lakhan,h
chandrashekhar,h
firoja,m
amrendra,h
kishan,h
dukhani,h
nasara,m
sakina,m
mohamad,m
lata,h
gita,h
sabiha,m
shivani,h
ashraf,m
sada,m
jivachhi,h
akash,h
shatrudhna,h
amna,m
mani,h
arshad,m
ramanath,h
paro,h
shabbir,m
reyaj,m
gulshan,m
anshu,h
ramasevak,h
ramprasad,h
ragini,h
chandeshwar,h
ekabal,m
dheeraj,h
ritesh,h
nishant,h
rashid,m
nusrat,m
sabita,h
sarfaraj,m
sujit,h
jahid,m
saday,h
madina,m
ramvriksha,h
domani,h
parameshvar,h
sagir,m
sneha,h
rajkishor,h
keshav,h
sooraj,h
sikandar,h
sachin,h
jameel,m
saleha,m
edevi,h
pravej,m
poddar,h
shabnam,m
ragani,h
imam,m
amarjeet,h
kaushar,m
raghunath,h
preeti,h
rakhee,h
baidhanath,h
salam,m
firdaus,m
akhatari,m
madhuree,h
agrawal,h
niro,h
vaseem,m
vinda,h
rameshvar,h
richa,h
hema,h
aarti,h
kamali,h
sushama,h
jibachh,h
murtuja,h
shilpi,h
gunjan,h
omprakash,h
pra,h
ajad,m
gudiya,h
sandhya,h
abu,m
emam,m
fareeda,m
krishan,h
anjana,h
ramkumar,h
kamlesh,h
behari,h
rupesh,h
na,h
mukharjee,h
sushila,h
manohar,h
hira,h
mehata,h
rafat,m
dashrath,h
jeetendra,h
shakuntala,h
mahatha,h
nandakishor,h
shakir,m
nilu,h
reja,m
giri,h
vinay,h
prabhu,h
bandana,h
rahamat,m
chandar,h
kanhai,h
halima,m
sundar,h
ramu,h
umashankar,h
bahadur,h
manorama,h
ladli,m
hemant,h
deoki,h
sahid,m
pansari,h
pallavi,h
nageena,h
sohan,h
syed,m
saurav,h
shubham,h
lalo,h
shamim,m
meenu,h
mu,h
ravishankar,h
supriya,h
ramrati,h
sanjeet,h
asama,m
faruk,m
deepa,h
satish,h
jagannath,h
nitesh,h
lukhiya,h
satyendra,h
nitish,h
najama,m
vidya,h
bebi,h
reshama,h
akhtari,m
ehsan,m
kamti,h
nahid,m
rajiv,h
rukhasana,m
kaleem,m
marani,h
sabir,m
sabana,m
ameena,m
ajmeri,m
mohmmad,m
pavitri,h
salama,m
monika,h
abhinav,h
tamanna,m
khairun,m
nagma,m
kanta,h
meharun,m
sameer,h
rai,h
fatima,m
sakil,m
nirmal,h
raji,h
quraishi,m
safina,m
anguri,m
ankita,h
aruna,h
fulkumari,h
ramakumari,h
babalu,h
shivanath,h
uramila,h
ruvi,h
rajni,h
talat,m
ramasakhi,h
najim,m
nandani,h
kedia,h
shruti,h
amir,m
nausad,m
bhagavan,h
savir,m
sonam,h
sajid,m
jafir,m
divakar,h
s, 
hameeda,m
shahjahan,m
ma, 
vaidhanath,h
kaiser,m
devanarayan,h
nisar,m
jaiprakash,h
sakila,m
sajan,h
vaidyanath,h
choupal,h
shagufta,m
gosvami,h
naval,h
nurul,m
sanjoo,h
bairoliya,h
nishat,h
jayasaval,h
sudhira,h
badi,h
rabbani,m
dukhi,h
neyaj,m
panday,h
neeta,h
dheerendra,h
alka,h
naz,m
salim,m
rishi,h
sohail,m
rukamini,h
nujahat,m
sahida,m
amresh,h
brajesh,h
raunak,h
varun,h
danish,m
ajmat,m
pranav,h
dhiraj,h
mar,h
radheshyam,h
iqbal,m
sana,m
ahmadi,m
arpana,h
sahin,m
akaram,m
sukhadeo,h
divya,h
godavari,h
anu,h
mira,h
navin,h
savitri,h
imteyaj,m
budhani,h
afjal,m
kuamr,h
smita,h
shavana,h
vavita,h
varsha,h
pratap,h
meraj,m
prince,h
raviya,h
triveni,h
nasima,m
gulav,h
saleem,m
shrawan,h
latrami,h
anamika,h
alaka,h
indira,h
ramdayal,h
rahamati,h
satto,h
maheshwar,h
purve,h
minakshi,h
sonia,h
kuamri,h
shahjadi,m
nehal,m
tinku,h
niranajan,h
faiyaj,m
husna,m
tarun,h
full,h
sajjan,h
chanchal,h
gulanaj,h
anupama,h
mintu,h
roushan,m
madhav,h
jayaswal,h
mangal,h
sushma,h
monu,h
hashmi,m
sudhanshu,h
siya,h
debi,h
anurag,h
datta,h
rambabu,h
surya,h
julekha,h
kari,h
deep,h
yamuna,h
raza,m
sajda,m
dulare,m
shahajahan,m
balaram,h
sona,h
premlata,h
kasim,m
jabi,h
jagataran,h
javahar,h
alamgeer,m
kanth,h
asharfi,m
sangjha,h
rajaram,h
kuraishi,m
ratna,h
abhilasha,h
rambahadur,h
atul,h
shusheela,h
sanjeeda,m
rustam,h
vindu,h
kaur,h
adil,m
sunayana,h
ekaval,m
bechan,h
mukul,h
kashee,h
kumud,h
chano,h
amita,h
taukir,m
bijay,h
vevi,h
jayanti,h
sajjad,m
rajgir,h
gudadu,h
mayank,h
santoshi,h
nurajaho,m
rizwan,m
shailo,h
usman,m
buchchi,h
sufiya,m
rahat,m
sanjiv,h
dr, 
sonali,h
jasim,m
najnin,m
